representation,x,y,stage,stage_id,subject_id
E1,-6.667150974273682,-12.16362476348877,N1,1,SC451
E1,-4.955046653747559,-14.383546829223633,REM,4,SC460
E1,29.841960906982422,-5.199873447418213,N3,3,SC461
E1,41.083457946777344,0.9106147885322571,N3,3,SC461
E1,-41.054603576660156,-15.243264198303223,REM,4,SC400
E1,-33.328651428222656,-2.395996570587158,N1,1,SC425
E1,-14.582266807556152,13.210875511169434,N1,1,SC441
E1,-17.75517463684082,1.459006905555725,N1,1,SC433
E1,-24.554492950439453,-6.501904487609863,REM,4,SC460
E1,-6.663263320922852,-5.115322589874268,N2,2,SC441
E1,-5.317322254180908,-12.87662124633789,REM,4,SC460
E1,7.284061431884766,-20.656633377075195,N2,2,SC425
E1,-15.570517539978027,-10.65948486328125,N2,2,SC425
E1,-0.2844551205635071,4.262556076049805,W,0,SC428
E1,2.2291436195373535,-15.86035442352295,N2,2,SC433
E1,3.8296685218811035,-12.756219863891602,N2,2,SC441
E1,52.8681526184082,5.036695957183838,N3,3,SC400
E1,13.596668243408203,-12.1373929977417,N2,2,SC460
E1,-0.36380770802497864,38.69298553466797,W,0,SC451
E1,-26.61139678955078,-12.46633529663086,REM,4,SC461
E1,5.123870372772217,-22.25116729736328,N2,2,SC425
E1,-25.797828674316406,-5.381590366363525,N1,1,SC400
E1,-22.973037719726562,-14.610916137695312,REM,4,SC441
E1,21.979473114013672,-15.385902404785156,N2,2,SC425
E1,-36.38356399536133,-15.488983154296875,N1,1,SC400
E1,4.058109760284424,-22.29296112060547,N2,2,SC428
E1,0.6049667596817017,0.5965862274169922,N1,1,SC441
E1,-6.018202304840088,44.96039581298828,W,0,SC451
E1,5.914113998413086,-22.09524917602539,N2,2,SC425
E1,-23.63642692565918,5.171492576599121,N1,1,SC425
E1,-16.748727798461914,-9.646051406860352,N2,2,SC451
E1,41.96661376953125,1.109540343284607,N3,3,SC461
E1,-10.405879020690918,20.283388137817383,N1,1,SC441
E1,-3.7806577682495117,46.75652313232422,W,0,SC451
E1,31.773191452026367,-6.531595706939697,N2,2,SC460
E1,15.4196138381958,-13.246288299560547,N2,2,SC461
E1,43.67976379394531,-0.5589718818664551,N3,3,SC441
E1,-6.780608177185059,-13.47330379486084,N2,2,SC451
E1,27.229663848876953,-9.555578231811523,N2,2,SC460
E1,-11.201302528381348,-13.778871536254883,N1,1,SC460
E1,-22.572284698486328,-13.497391700744629,N2,2,SC441
E1,-7.1225905418396,33.89003372192383,W,0,SC460
E1,-35.80870056152344,-18.79545021057129,REM,4,SC400
E1,-41.31071090698242,-14.284187316894531,REM,4,SC400
E1,-38.62394714355469,-13.491595268249512,REM,4,SC433
E1,13.934067726135254,-8.673995971679688,N2,2,SC460
E1,-14.58549976348877,0.4803447425365448,N1,1,SC433
E1,8.882575988769531,-8.919858932495117,N1,1,SC441
E1,20.801715850830078,-14.404614448547363,N2,2,SC441
E1,-10.26845932006836,-6.829545974731445,N1,1,SC460
E1,51.80734634399414,4.455097198486328,N3,3,SC428
E1,-4.473874092102051,38.15117645263672,W,0,SC451
E1,2.30938982963562,-15.385013580322266,N2,2,SC451
E1,-9.572914123535156,-4.5293755531311035,REM,4,SC460
E1,-0.13842833042144775,-18.482999801635742,N1,1,SC433
E1,-26.635746002197266,-7.053283214569092,N1,1,SC425
E1,18.562908172607422,-12.167863845825195,N2,2,SC441
E1,-6.816349506378174,-8.362467765808105,N2,2,SC451
E1,3.9078214168548584,-15.968463897705078,N2,2,SC433
E1,-1.2091363668441772,-16.489479064941406,REM,4,SC460
E1,1.21153724193573,-3.6411325931549072,N2,2,SC461
E1,-31.14737892150879,-11.459778785705566,REM,4,SC433
E1,-5.761224746704102,40.01041030883789,W,0,SC400
E1,-10.666924476623535,18.17048454284668,W,0,SC451
E1,-31.057876586914062,-5.808806419372559,REM,4,SC451
E1,-25.0047607421875,3.8524069786071777,N1,1,SC425
E1,0.17315717041492462,2.040468215942383,W,0,SC451
E1,-8.68915843963623,-6.333778381347656,N1,1,SC451
E1,28.453140258789062,-1.4359349012374878,N3,3,SC461
E1,-37.638023376464844,-14.84924602508545,REM,4,SC428
E1,34.41859817504883,3.415475845336914,N3,3,SC400
E1,-23.859432220458984,4.536317825317383,REM,4,SC433
E1,-37.0194206237793,-14.484750747680664,REM,4,SC400
E1,-7.513649940490723,22.951976776123047,W,0,SC400
E1,34.42008590698242,2.263911485671997,N3,3,SC460
E1,12.419623374938965,-20.480499267578125,N2,2,SC428
E1,-7.7967610359191895,-8.79670524597168,N2,2,SC451
E1,21.347949981689453,-14.894646644592285,N3,3,SC425
E1,-23.363697052001953,6.800293922424316,N1,1,SC400
E1,-20.03864860534668,3.8013486862182617,REM,4,SC433
E1,39.6195068359375,8.32679557800293,N3,3,SC400
E1,-20.530057907104492,-8.126750946044922,N1,1,SC400
E1,-16.151390075683594,8.54526424407959,W,0,SC425
E1,13.799848556518555,-22.023334503173828,N2,2,SC400
E1,-28.05606460571289,-3.523639440536499,REM,4,SC441
E1,-10.520126342773438,-4.650295257568359,N1,1,SC400
E1,-38.08304214477539,-16.32683563232422,REM,4,SC428
E1,-30.381872177124023,-8.547832489013672,REM,4,SC441
E1,-24.390283584594727,5.015130996704102,REM,4,SC433
E1,-23.81876564025879,-16.09522819519043,REM,4,SC400
E1,-14.651264190673828,0.8482932448387146,N1,1,SC433
E1,46.20924758911133,6.132734298706055,N3,3,SC428
E1,-13.512261390686035,-9.838934898376465,REM,4,SC461
E1,24.806066513061523,0.8057135343551636,N2,2,SC461
E1,-32.827789306640625,-6.821762561798096,REM,4,SC425
E1,38.37678146362305,0.27957233786582947,N1,1,SC461
E1,-35.29353713989258,-13.167743682861328,REM,4,SC433
E1,-10.180726051330566,21.058380126953125,W,0,SC441
E1,-18.986557006835938,-15.228056907653809,REM,4,SC460
E1,-35.677276611328125,-13.908987045288086,N1,1,SC400
E1,24.942590713500977,-10.31439208984375,N3,3,SC425
E1,12.08246898651123,-19.496761322021484,N2,2,SC400
E1,-9.316304206848145,1.5220551490783691,N1,1,SC400
E1,49.01103210449219,8.867140769958496,N3,3,SC400
E1,-34.64813995361328,-19.992158889770508,REM,4,SC428
E1,-32.42824935913086,-12.142053604125977,N1,1,SC425
E1,0.32687079906463623,-13.225132942199707,N1,1,SC461
E1,0.3614809215068817,39.59425354003906,W,0,SC428
E1,-40.42137908935547,-12.18895435333252,REM,4,SC428
E1,-9.042703628540039,-8.462590217590332,REM,4,SC451
E1,-8.957959175109863,40.45610809326172,W,0,SC433
E1,41.55794906616211,2.365231990814209,N3,3,SC461
E1,-5.155534267425537,-0.18559770286083221,REM,4,SC461
E1,0.7248510122299194,-18.619117736816406,N2,2,SC428
E1,-23.130373001098633,-10.376042366027832,N2,2,SC425
E1,-19.75242042541504,10.971198081970215,W,0,SC461
E1,53.325618743896484,5.472027778625488,N3,3,SC400
E1,17.96702766418457,-5.485795974731445,N3,3,SC451
E1,-12.304045677185059,19.57099151611328,W,0,SC441
E1,23.13553810119629,-2.3159732818603516,REM,4,SC461
E1,27.133441925048828,-1.4284121990203857,N3,3,SC425
E1,14.051448822021484,-19.179988861083984,N2,2,SC428
E1,-15.879374504089355,7.810183525085449,W,0,SC425
E1,50.62715148925781,6.418874740600586,N3,3,SC400
