timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/11 07:06:11.874, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB
2026/08/11 07:06:16.978, Tesla V100-PCIE-16GB, 0 %, 0 %, 4 MiB, 16384 MiB
2026/08/11 07:06:21.979, Tesla V100-PCIE-16GB, 59 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:06:26.980, Tesla V100-PCIE-16GB, 59 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:06:31.981, Tesla V100-PCIE-16GB, 59 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:06:36.982, Tesla V100-PCIE-16GB, 57 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:06:41.982, Tesla V100-PCIE-16GB, 56 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:06:46.983, Tesla V100-PCIE-16GB, 56 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:06:51.986, Tesla V100-PCIE-16GB, 56 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:06:56.987, Tesla V100-PCIE-16GB, 56 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:07:01.988, Tesla V100-PCIE-16GB, 55 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:07:06.991, Tesla V100-PCIE-16GB, 56 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:07:11.991, Tesla V100-PCIE-16GB, 54 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:07:16.992, Tesla V100-PCIE-16GB, 53 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:07:21.993, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:07:26.995, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:07:31.996, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
