timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/12 17:40:00.795, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 38
2026/08/12 17:40:10.796, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 40
2026/08/12 17:40:20.798, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 41
2026/08/12 17:40:30.799, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 41
2026/08/12 17:40:40.800, Tesla V100-PCIE-16GB, 53 %, 4 %, 548 MiB, 16384 MiB, 42
2026/08/12 17:40:50.801, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 42
2026/08/12 17:41:00.802, Tesla V100-PCIE-16GB, 53 %, 4 %, 548 MiB, 16384 MiB, 42
2026/08/12 17:41:10.804, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:41:20.805, Tesla V100-PCIE-16GB, 24 %, 5 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:41:30.807, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:41:40.808, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:41:50.810, Tesla V100-PCIE-16GB, 51 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:42:00.866, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:42:10.868, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:42:20.869, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:42:30.870, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:42:40.871, Tesla V100-PCIE-16GB, 53 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:42:50.872, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:43:00.874, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:43:10.875, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:43:20.877, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:43:30.878, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:43:40.879, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:43:50.880, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 17:44:00.881, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:44:10.883, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:44:20.884, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:44:30.932, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:44:40.933, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:44:50.934, Tesla V100-PCIE-16GB, 54 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:45:00.935, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:45:10.937, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:45:20.938, Tesla V100-PCIE-16GB, 37 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:45:30.939, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:45:40.940, Tesla V100-PCIE-16GB, 51 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:45:50.944, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:46:00.945, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:46:10.946, Tesla V100-PCIE-16GB, 53 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:46:20.948, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:46:31.037, Tesla V100-PCIE-16GB, 53 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:46:41.039, Tesla V100-PCIE-16GB, 54 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:46:51.041, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:47:01.042, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:47:11.043, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:47:21.044, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:47:31.045, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:47:41.046, Tesla V100-PCIE-16GB, 54 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:47:51.049, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:48:01.051, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 17:48:11.052, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 44
