timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/13 08:30:21.728, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 40
2026/08/13 08:30:31.729, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 42
2026/08/13 08:30:41.731, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/13 08:30:51.732, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/13 08:31:01.733, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/13 08:31:11.758, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 08:31:21.759, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 08:31:31.760, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 08:31:41.762, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 08:31:51.763, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 08:32:01.764, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 08:32:11.765, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 08:32:21.766, Tesla V100-PCIE-16GB, 25 %, 5 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:32:31.767, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:32:41.768, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:32:51.769, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:33:01.771, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:33:11.774, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:33:21.775, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:33:31.776, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:33:41.777, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 08:33:51.778, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 08:34:01.779, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 08:34:11.781, Tesla V100-PCIE-16GB, 52 %, 4 %, 548 MiB, 16384 MiB, 48
