timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/20 07:03:08.464, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 43
2026/08/20 07:03:18.466, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 45
2026/08/20 07:03:28.467, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 46
2026/08/20 07:03:38.468, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 46
2026/08/20 07:03:48.469, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/20 07:03:58.470, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/20 07:04:08.471, Tesla V100-PCIE-16GB, 30 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/20 07:04:18.472, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/20 07:04:28.474, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/20 07:04:38.475, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:04:48.477, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:04:58.478, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:05:08.480, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:05:18.481, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:05:28.482, Tesla V100-PCIE-16GB, 38 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:05:38.483, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:05:48.484, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:05:58.485, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:06:08.486, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:06:18.488, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:06:28.489, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:06:38.490, Tesla V100-PCIE-16GB, 51 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:06:48.491, Tesla V100-PCIE-16GB, 39 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:06:58.492, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:07:08.493, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:07:18.494, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:07:28.495, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:07:38.496, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:07:48.498, Tesla V100-PCIE-16GB, 44 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:07:58.499, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:08:08.500, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:08:18.501, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:08:28.502, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:08:38.505, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:08:48.506, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:08:58.510, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:09:08.512, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:09:18.513, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
