fold,E1_silhouette,E2_silhouette,E2_minus_E1,sample_count,subjects_represented
0,0.22036926448345184,0.10339323431253433,-0.11697603017091751,1000,8
1,0.19911712408065796,0.10452616214752197,-0.09459096193313599,1000,8
2,0.2751213312149048,0.12249971926212311,-0.15262161195278168,1000,8
3,0.21254180371761322,0.10173231363296509,-0.11080949008464813,1000,8
4,0.15597021579742432,0.09515907615423203,-0.06081113964319229,1000,8
5,0.24357618391513824,0.14445003867149353,-0.09912614524364471,1000,8
6,0.19491098821163177,0.09012650698423386,-0.10478448122739792,1000,8
7,0.1657562553882599,0.05651476979255676,-0.10924148559570312,1000,8
8,0.22976818680763245,0.1120523139834404,-0.11771587282419205,1000,7
9,0.22889237105846405,0.11705546081066132,-0.11183691024780273,1000,7
